,commodity,supplier,Model_id,price_in_dollars,supplier_rating,component_rating
196,DVDdrive,Toshiba,699738,59.0,7,5
197,DVDdrive,Transcend Information,441801,71.0,7,3
198,DVDdrive,TrekStor,220038,65.0,8,9
199,DVDdrive,Verbatim Corporation,883247,55.0,5,4
200,DVDdrive,Western Digital,374219,60.0,9,6
201,DVDdrive,Thermaltake,549851,38.0,9,5
202,DVDdrive,UltraProducts,461298,52.0,5,4
203,DVDdrive,Intel,461023,36.0,6,5
204,DVDdrive,Nvidia,319036,35.0,8,5
205,DVDdrive,Acer,782384,53.0,5,3
206,DVDdrive,ACubeSystems,992805,62.0,9,6
207,DVDdrive,AMAX Information Technologies,386285,73.0,5,7
208,DVDdrive,AOpen,985024,75.0,4,4
209,DVDdrive,Chassis Plans,258325,61.0,7,8
210,Chasis,Seasonic,766591,110.0,4,3
211,Chasis,ADATA,743233,54.0,7,9
212,Chasis,Buffalo Technology,966216,130.0,6,6
213,Chasis,Freecom,453908,180.0,6,3
214,Chasis,G-Technology,768123,119.0,6,4
215,Chasis,Hyundai,974894,105.0,7,3
216,Chasis,IoSafe,487117,200.0,9,7
217,Chasis,LaCie,588297,143.0,5,7
218,Chasis,LG,115402,177.0,8,9
219,Chasis,Maxtor,872960,98.0,5,3
220,Chasis,Shuttle SilverStoneTechnology,280514,132.0,8,8
221,Chasis,Promise Technology,361215,115.0,5,5
222,Chasis,Samsung,618327,128.0,9,7
223,Chasis,Seagate,847750,111.0,7,7
224,Chasis,Silicon Power,125490,173.0,9,6
225,Chasis,Sony,427945,138.0,6,6
226,Chasis,Toshiba,659049,119.0,7,7
227,Chasis,Transcend Information,280493,155.0,9,9
228,Chasis,TrekStor,115701,82.0,9,4
229,Chasis,Verbatim Corporation,480843,118.0,4,8
230,Chasis,Western Digital,495265,198.0,4,4
231,Chasis,Thermaltake,768959,158.0,6,7
232,Chasis,UltraProducts,899630,82.0,8,8
233,Chasis,Intel,489680,143.0,4,5
234,Chasis,Nvidia,111929,169.0,8,3
235,Chasis,Acer,668817,77.0,9,8
236,Chasis,ACubeSystems,199310,188.0,8,3
237,Chasis,AMAX Information Technologies,797505,170.0,8,6
238,Chasis,AOpen,630389,169.0,9,7
239,Chasis,Chassis Plans,361075,131.0,4,5
240,PSU800,Seasonic,603122,254.0,8,8
241,PSU800,ADATA,659680,235.0,6,4
242,PSU800,Buffalo Technology,696429,158.0,4,6
243,PSU800,Freecom,368090,160.0,7,3
244,PSU800,G-Technology,541610,281.0,7,8
245,PSU800,Hyundai,847518,207.0,5,7
246,PSU800,IoSafe,759612,180.0,4,5
247,PSU800,LaCie,656040,205.0,4,4
248,PSU800,LG,812439,216.0,7,6
249,PSU800,Maxtor,651524,278.0,8,9
250,PSU800,Shuttle SilverStoneTechnology,270412,199.0,7,6
251,PSU800,Promise Technology,408990,252.0,4,4
252,PSU800,Samsung,140883,250.0,6,9
253,PSU800,Seagate,582102,237.0,5,9
254,PSU800,Silicon Power,480202,155.0,7,8
255,PSU800,Sony,773116,169.0,6,9
256,PSU800,Toshiba,786599,254.0,7,4
257,PSU800,Transcend Information,311697,152.0,5,8
258,PSU800,TrekStor,290607,176.0,6,8
259,PSU800,Verbatim Corporation,511264,155.0,9,6
260,PSU800,Western Digital,725874,289.0,8,9
261,PSU800,Thermaltake,752519,211.0,8,7
262,PSU800,UltraProducts,410252,197.0,6,4
263,PSU800,Intel,226640,188.0,5,3
264,PSU800,Nvidia,967372,247.0,5,7
265,PSU800,Acer,364713,170.0,9,6
266,PSU800,ACubeSystems,798808,281.0,8,6
267,PSU800,AMAX Information Technologies,703106,218.0,5,3
268,PSU800,AOpen,321360,211.0,6,5
269,PSU800,Chassis Plans,598303,156.0,9,7
270,PSU400,Seasonic,310347,103.0,5,7
271,PSU400,ADATA,615589,159.0,5,3
272,PSU400,Buffalo Technology,350773,128.0,6,5
273,PSU400,Freecom,409392,173.0,4,6
274,PSU400,G-Technology,159369,116.0,9,8
275,PSU400,Hyundai,714411,87.0,9,4
276,PSU400,IoSafe,783168,127.0,4,7
277,PSU400,LaCie,641480,182.0,7,5
278,PSU400,LG,699588,189.0,6,4
279,PSU400,Maxtor,734949,187.0,5,4
280,PSU400,Shuttle SilverStoneTechnology,888380,86.0,9,6
281,PSU400,Promise Technology,451595,91.0,9,9
282,PSU400,Samsung,886013,149.0,4,9
283,PSU400,Seagate,417489,192.0,8,4
284,PSU400,Silicon Power,526350,168.0,7,7
285,PSU400,Sony,561236,109.0,8,4
286,PSU400,Toshiba,843408,154.0,9,9
287,PSU400,Transcend Information,968063,141.0,8,6
288,PSU400,TrekStor,387367,109.0,8,3
289,PSU400,Verbatim Corporation,167055,131.0,4,8
290,PSU400,Western Digital,713042,194.0,9,5
291,PSU400,Thermaltake,394576,122.0,6,5
292,PSU400,UltraProducts,336366,180.0,9,9
293,PSU400,Intel,376094,193.0,5,4
294,PSU400,Nvidia,576094,132.0,9,9
295,PSU400,Acer,615283,134.0,7,7
296,PSU400,ACubeSystems,932617,169.0,8,9
297,PSU400,AMAX Information Technologies,215789,200.0,6,9
298,PSU400,AOpen,873656,154.0,4,7
299,PSU400,Chassis Plans,396003,102.0,7,8
300,Mouse,Seasonic,812241,26.0,4,7
301,Mouse,ADATA,949312,90.0,7,7
302,Mouse,Buffalo Technology,393921,90.0,7,3
303,Mouse,Freecom,317419,86.0,4,8
304,Mouse,G-Technology,730619,77.0,4,8
305,Mouse,Hyundai,893668,60.0,9,5
306,Mouse,IoSafe,948102,36.0,4,8
307,Mouse,LaCie,661759,71.0,8,8
308,Mouse,LG,133531,47.0,6,7
309,Mouse,Maxtor,631441,99.0,8,9
310,Mouse,Shuttle SilverStoneTechnology,177373,96.0,6,8
311,Mouse,Promise Technology,120318,18.0,9,7
312,Mouse,Samsung,442094,75.0,9,8
313,Mouse,Seagate,415244,41.0,9,4
314,Mouse,Silicon Power,741451,51.0,4,7
315,Mouse,Sony,146668,56.0,4,7
316,Mouse,Toshiba,218160,40.0,9,7
317,Mouse,Transcend Information,410641,14.0,7,9
318,Mouse,TrekStor,298266,66.0,7,9
319,Mouse,Verbatim Corporation,898106,58.0,6,5
320,Mouse,Western Digital,638592,67.0,9,3
321,Mouse,Thermaltake,524316,59.0,8,9
322,Mouse,UltraProducts,180875,100.0,9,9
323,Mouse,Intel,968872,19.0,7,8
324,Mouse,Nvidia,503124,36.0,8,8
325,Mouse,Acer,205313,39.0,4,3
326,Mouse,ACubeSystems,134511,62.0,6,9
327,Mouse,AMAX Information Technologies,503862,29.0,7,3
328,Mouse,AOpen,835413,78.0,4,9
329,Mouse,Chassis Plans,904386,51.0,9,7
330,Monitor,Seasonic,634284,159.0,5,5
331,Monitor,ADATA,534436,172.0,9,9
332,Monitor,Buffalo Technology,128716,95.0,7,9
333,Monitor,Freecom,121815,190.0,9,3
334,Monitor,G-Technology,486324,104.0,4,7
335,Monitor,Hyundai,747979,109.0,9,9
336,Monitor,IoSafe,663633,81.0,5,3
337,Monitor,LaCie,933810,138.0,6,5
338,Monitor,LG,683864,99.0,6,6
339,Monitor,Maxtor,520501,185.0,7,6
340,Monitor,Shuttle SilverStoneTechnology,536146,126.0,8,6
341,Monitor,Promise Technology,107574,176.0,8,9
342,Monitor,Samsung,902834,193.0,4,7
343,Monitor,Seagate,725605,162.0,6,3
344,Monitor,Silicon Power,796325,147.0,8,8
345,Monitor,Sony,511269,112.0,9,5
346,Monitor,Toshiba,101862,168.0,7,5
347,Monitor,Transcend Information,849023,197.0,6,3
348,Monitor,TrekStor,709437,179.0,8,8
349,Monitor,Verbatim Corporation,318512,193.0,5,3
350,Monitor,Western Digital,936522,80.0,7,5
351,Monitor,Thermaltake,414436,136.0,4,6
352,Monitor,UltraProducts,288654,159.0,6,8
353,Monitor,Intel,339718,104.0,5,9
354,Monitor,Nvidia,125484,178.0,5,3
355,Monitor,Acer,971222,154.0,8,3
356,Monitor,ACubeSystems,678648,167.0,6,9
357,Monitor,AMAX Information Technologies,960251,114.0,7,6
358,Monitor,AOpen,141979,100.0,9,3
359,Monitor,Chassis Plans,966743,135.0,8,6
360,GraphicCard,Seasonic,473230,202.0,7,8
361,GraphicCard,ADATA,302108,217.0,4,7
362,GraphicCard,Buffalo Technology,362789,258.0,8,8
363,GraphicCard,Freecom,379133,163.0,7,3
364,GraphicCard,G-Technology,827113,240.0,4,9
365,GraphicCard,Hyundai,664652,182.0,5,7
366,GraphicCard,IoSafe,596311,165.0,8,6
367,GraphicCard,LaCie,434119,279.0,6,4
368,GraphicCard,LG,535406,211.0,7,8
369,GraphicCard,Maxtor,567910,279.0,9,5
370,GraphicCard,Shuttle SilverStoneTechnology,854878,292.0,4,9
371,GraphicCard,Promise Technology,707618,158.0,9,5
372,GraphicCard,Samsung,463045,242.0,7,3
373,GraphicCard,Seagate,219126,169.0,4,6
374,GraphicCard,Silicon Power,142225,281.0,6,4
375,GraphicCard,Sony,522702,223.0,5,8
376,GraphicCard,Toshiba,449449,240.0,4,6
377,GraphicCard,Transcend Information,278851,215.0,5,7
378,GraphicCard,TrekStor,332975,197.0,5,9
379,GraphicCard,Verbatim Corporation,260660,173.0,7,6
380,GraphicCard,Western Digital,339459,259.0,7,5
381,GraphicCard,Thermaltake,233013,270.0,8,4
382,GraphicCard,UltraProducts,537446,256.0,5,9
383,GraphicCard,Intel,758900,209.0,5,9
384,GraphicCard,Nvidia,563744,288.0,9,8
385,GraphicCard,Acer,677748,234.0,6,5
386,GraphicCard,ACubeSystems,538817,153.0,5,9
387,GraphicCard,AMAX Information Technologies,162997,254.0,7,8
388,GraphicCard,AOpen,605666,189.0,5,4
389,GraphicCard,Chassis Plans,290920,240.0,5,6
390,Speaker,Seasonic,484749,104.0,5,5
391,Speaker,ADATA,267595,146.0,6,9
392,Speaker,Buffalo Technology,768469,168.0,5,9
393,Speaker,Freecom,733607,185.0,9,6
394,Speaker,G-Technology,440373,76.0,7,6
395,Speaker,Hyundai,876318,109.0,6,9
396,Speaker,IoSafe,187315,96.0,4,5
397,Speaker,LaCie,878215,98.0,5,3
398,Speaker,LG,837110,67.0,4,7
399,Speaker,Maxtor,574413,199.0,4,7
400,Speaker,Shuttle SilverStoneTechnology,649298,125.0,9,5
401,Speaker,Promise Technology,577411,105.0,5,7
402,Speaker,Samsung,696862,97.0,8,9
403,Speaker,Seagate,384193,119.0,8,6
404,Speaker,Silicon Power,479656,123.0,8,4
405,Speaker,Sony,356884,170.0,6,6
406,Speaker,Toshiba,874863,60.0,8,3
407,Speaker,Transcend Information,913002,127.0,5,4
408,Speaker,TrekStor,535986,104.0,7,3
409,Speaker,Verbatim Corporation,291451,115.0,4,7
410,Speaker,Western Digital,823387,183.0,4,9
411,Speaker,Thermaltake,896634,182.0,5,6
412,Speaker,UltraProducts,577287,189.0,6,8
413,Speaker,Intel,448032,112.0,4,6
414,Speaker,Nvidia,114920,100.0,5,5
415,Speaker,Acer,203309,98.0,4,3
416,Speaker,ACubeSystems,183096,68.0,7,8
417,Speaker,AMAX Information Technologies,623532,187.0,7,8
418,Speaker,AOpen,705410,182.0,6,3
419,Speaker,Chassis Plans,159587,77.0,7,6
